x,y
0,0
5,0
10,0
15,0
20,0
25,0
30,0
35,0
40,0
45,0
50,0
55,0
60,0
65,0
70,0
75,0
80,0
85,0
90,0
95,0
100,0
105,0
110,0
115,0
120,0
125,0
130,0
135,0
140,0
145,0
150,0
155,0
160,0
165,0
170,0
175,0
180,0
185,0
190,0
195,0
200,0
205,0
210,0
215,0
220,0
225,0
230,0
235,0
240,0
245,0
250,0
255,0
260,0
265,0
270,0
275,0
280,0
285,0
290,0
295,0
300,0
305,0
310,0
315,0
320,0
325,0
330,0
335,0
340,0
345,0
350,0
355,0
360,1
365,4
370,7
375,8
380,12
385,15
390,19
395,23
400,29
405,39
410,44
415,52
420,60
425,71
430,80
435,92
440,102
445,112
450,120
455,136
460,146
465,155
470,166
475,176
480,189
485,198
490,217
495,227
500,241
505,247
510,257
515,272
520,279
525,288
530,306
535,323
540,324
545,341
550,352
555,370
560,377
565,389
570,403
575,408
580,403
585,410
590,436
595,432
600,425
605,432
610,435
615,455
620,452
625,472
630,482
635,218
640,467
645,470
650,470
655,462
660,486
665,492
670,502
675,376
680,517
685,416
690,513
695,159
700,490
705,417
710,381
715,484
720,491
725,488
730,482
735,484
740,484
745,482
750,474
755,479
760,476
765,480
770,470
775,475
780,467
785,462
790,467
795,465
800,469
805,401
810,395
815,457
820,436
825,432
830,435
835,433
840,441
845,426
850,394
855,371
860,365
865,363
870,350
875,339
880,332
885,324
890,316
895,300
900,293
905,283
910,275
915,271
920,253
925,182
930,142
935,169
940,155
945,163
950,117
955,84
960,73
965,60
970,60
975,36
980,33
985,35
990,75
995,49
1000,81
1005,78
1010,95
1015,85
1020,64
1025,52
1030,57
1035,43
1040,41
1045,42
1050,30
1055,22
1060,14
1065,9
1070,5
1075,2
1080,2
1085,0
1090,0
1095,0
1100,0
1105,0
1110,0
1115,0
1120,0
1125,0
1130,0
1135,0
1140,0
1145,0
1150,0
1155,0
1160,0
1165,0
1170,0
1175,0
1180,0
1185,0
1190,0
1195,0
1200,0
1205,0
1210,0
1215,0
1220,0
1225,0
1230,0
1235,0
1240,0
1245,0
1250,0
1255,0
1260,0
1265,0
1270,0
1275,0
1280,0
1285,0
1290,0
1295,0
1300,0
1305,0
1310,0
1315,0
1320,0
1325,0
1330,0
1335,0
1340,0
1345,0
1350,0
1355,0
1360,0
1365,0
1370,0
1375,0
1380,0
1385,0
1390,0
1395,0
1400,0
1405,0
1410,0
1415,0
1420,0
1425,0
1430,0
1435,0
